#	Country	Date	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
34	Switzerland	28-02-2022	2,792,418	+9,005	13,234 	+11	2,171,436	+73,592	607,748	137	318,779	1,511	18,662,771	2,130,521	8,759,722 	Europe
35	Romania	28-02-2022	2,733,484	+4,757	63,432 	+57	2,489,778	+17,876	180,274	923	143,682	3,334	21,040,842	1,105,983	19,024,556 	Europe
36	Austria	28-02-2022	2,679,742	+20,210	14,809 	+22	2,395,470	+24,983	269,463	189	294,745	1,629	158,973,339	17,485,477	9,091,736 	Europe
37	Denmark	28-02-2022	2,633,759	+15,734	4,612 	+28	2,243,266	+27,967	385,881	42	452,064	792	125,361,779	21,517,361	5,826,076 	Europe
38	Sweden	28-02-2022	2,448,182	+1,223	17,207 		2,092,483	+39,441	338,492	73	239,928	1,686	18,107,257	1,774,553	10,203,839 	Europe
39	Greece	28-02-2022	2,421,664	+16,263	25,860 	+75	2,190,692		205,112	413	234,238	2,501	65,534,935	6,338,922	10,338,498 	Europe
40	Iraq	28-02-2022	2,302,793	+1,203	24,989 	+14	2,243,644	+2,643	34,160	148	55,196	599	17,973,630	430,815	41,720,046 	Asia
41	Bangladesh	28-02-2022	1,943,577	+897	29,037 	+4	1,814,665	+7,976	99,875	1,275	11,609	173	13,401,339	80,049	167,413,678 	Asia
42	Serbia	28-02-2022	1,910,975	+2,703	15,241 	+42	1,802,008	+11,077	93,726	104	220,186	1,756	8,754,776	1,008,740	8,678,920 	Europe
43	Hungary	28-02-2022	1,787,544	+8,370	43,949 	+197	1,588,843	+22,334	154,752	132	185,823	4,569	10,784,987	1,121,146	9,619,612 	Europe
44	Jordan	28-02-2022	1,631,708	+8,234	13,835 	+21	1,535,778	+17,024	82,095	713	157,329	1,334	16,285,726	1,570,266	10,371,316 	Asia
45	Georgia	28-02-2022	1,605,472	+2,465	16,163 	+25	1,504,161	+12,840	85,148		403,745	4,065	15,880,724	3,993,694	3,976,450 	Asia
